 ,Label,Area,X,Y
458,96.0,3782,374.943,809.454
459,96.0,4780,218.323,1099.369
460,96.0,3384,361.090,1215.085
461,96.0,8671,443.997,1875.936
462,97.0,3834,371.326,783.716
463,97.0,4867,204.616,1130.532
464,97.0,3454,367.121,1191.634
465,97.0,8705,443.851,1877.542
466,98.0,3865,370.285,746.399
467,98.0,4768,184.635,1183.901
468,98.0,3406,374.308,1163.320
469,98.0,8545,435.253,1887.172
470,99.0,3923,368.973,723.036
471,99.0,3391,378.565,1144.335
472,99.0,4707,174.990,1225.045
473,99.0,8287,431.103,1888.007
474,100.0,3822,367.411,693.634
475,100.0,3412,383.510,1121.557
476,100.0,4820,167.366,1274.089
477,100.0,7668,425.417,1887.125
478,101.0,3805,367.827,675.157
479,101.0,3404,386.321,1106.926
480,101.0,4804,163.291,1308.052
481,101.0,7603,416.697,1886.963
482,102.0,3764,368.594,653.879
483,102.0,3407,389.201,1082.515
484,102.0,4807,159.211,1347.082
485,102.0,8341,399.576,1887.844
486,103.0,3760,366.415,633.837
487,103.0,3402,390.148,1055.563
488,103.0,4805,156.268,1373.511
489,103.0,9278,386.407,1889.388
490,104.0,3850,354.055,593.924
491,104.0,3368,392.215,1012.175
492,104.0,4766,152.442,1405.439
493,104.0,9127,372.496,1885.145
494,105.0,3819,347.048,564.706
495,105.0,3380,391.536,976.988
496,105.0,4729,150.585,1427.881
497,105.0,9019,362.838,1879.875
498,106.0,3760,338.241,531.272
499,106.0,3468,393.567,930.872
500,106.0,4677,148.210,1456.761
501,106.0,9248,352.470,1874.744
502,107.0,3716,331.026,509.203
503,107.0,3374,393.806,898.131
504,107.0,4720,145.195,1474.573
505,107.0,9358,345.529,1871.601
506,108.0,3660,321.908,483.015
507,108.0,3378,392.734,861.434
508,108.0,4785,140.645,1497.139
509,108.0,9251,336.820,1867.725
510,109.0,3673,315.927,465.904
511,109.0,3369,390.884,835.222
512,109.0,4808,137.707,1512.656
513,109.0,9246,330.845,1865.427
514,110.0,3722,308.807,446.361
515,110.0,3394,388.338,804.568
516,110.0,4750,133.107,1531.148
517,110.0,9376,322.130,1862.991
518,111.0,3712,303.850,434.026
519,111.0,3285,384.905,782.957
520,111.0,4772,130.189,1544.330
521,111.0,9330,315.860,1859.957
522,112.0,3675,297.390,418.635
523,112.0,3370,368.256,746.055
524,112.0,4873,127.166,1559.122
525,112.0,4462,186.317,1825.974
526,112.0,4822,416.700,1878.507
527,113.0,3693,291.813,404.098
528,113.0,3205,348.662,707.589
529,113.0,4952,123.642,1573.281
530,113.0,4415,171.115,1811.833
531,113.0,4787,418.175,1878.271
532,114.0,3713,284.509,381.031
533,114.0,3235,328.924,668.545
534,114.0,5137,119.776,1583.514
535,114.0,4543,160.329,1791.299
536,114.0,4789,418.300,1878.937
537,115.0,3681,279.691,364.172
538,115.0,3277,314.297,645.786
539,115.0,5054,116.808,1592.074
540,115.0,4503,153.816,1775.014
541,115.0,4964,416.482,1880.803
542,116.0,3682,273.767,345.795
543,116.0,3233,295.258,620.933
544,116.0,8999,129.486,1677.870
545,116.0,5073,415.993,1882.265
546,117.0,3746,269.144,333.775
547,117.0,3184,278.617,603.593
548,117.0,8094,126.552,1679.768
549,117.0,5148,415.356,1882.962
550,118.0,3774,264.595,319.215
551,118.0,3262,248.680,602.054
552,118.0,6886,125.198,1684.567
553,118.0,5116,415.803,1883.681
554,119.0,3766,261.001,306.627
555,119.0,3478,226.983,608.826
556,119.0,7188,127.366,1688.317
557,119.0,5151,416.371,1884.400
558,120.0,3733,248.999,283.149
559,120.0,3317,197.669,623.098
560,120.0,7924,131.025,1696.079
561,120.0,5393,415.683,1886.006
562,121.0,3806,231.877,278.319
563,121.0,3313,179.290,641.957
564,121.0,8565,132.815,1701.106
565,121.0,5597,415.185,1887.063
566,122.0,3784,205.396,287.966
567,122.0,3317,157.295,675.378
568,122.0,8323,135.635,1699.335
569,122.0,5803,414.277,1888.059
570,123.0,3706,187.774,300.685
571,123.0,3316,144.529,700.765
572,123.0,7777,140.548,1696.342
573,123.0,5801,416.441,1887.167
574,124.0,3651,168.301,315.546
575,124.0,3306,130.693,750.749
576,124.0,8589,144.875,1693.569
577,124.0,5693,417.017,1887.398
578,125.0,3653,157.315,324.040
579,125.0,3293,132.129,795.079
580,125.0,9098,148.653,1691.181
581,125.0,5460,417.844,1888.625
582,126.0,3747,145.577,333.254
583,126.0,3267,145.165,857.514
584,126.0,9339,152.959,1686.967
585,126.0,5091,423.576,1889.089
586,127.0,3642,134.451,341.971
587,127.0,3230,156.351,892.997
588,127.0,9183,158.367,1683.147
589,127.0,4809,431.373,1888.820
590,128.0,3728,121.898,353.807
591,128.0,3263,171.241,931.520
592,128.0,4056,171.505,1545.093
593,128.0,4998,168.577,1788.287
594,128.0,4574,434.935,1886.908
595,129.0,3816,114.368,371.136
596,129.0,3276,181.116,956.304
597,129.0,4062,184.114,1528.326
598,129.0,5115,178.164,1797.365
599,129.0,4451,436.917,1883.435
600,130.0,3744,108.418,406.592
601,130.0,3215,192.025,983.584
602,130.0,4134,198.518,1508.823
603,130.0,5224,190.716,1806.283
604,130.0,4323,440.975,1875.367
605,131.0,3727,104.953,427.868
606,131.0,3197,199.986,1000.901
607,131.0,4184,208.594,1494.837
608,131.0,5176,202.114,1811.864
609,131.0,4132,444.156,1868.713
610,132.0,3746,100.614,452.107
611,132.0,3191,209.437,1021.984
612,132.0,3986,227.977,1466.298
613,132.0,5148,216.763,1816.512
614,132.0,4039,444.928,1863.764
615,133.0,3758,97.767,468.354
616,133.0,3204,214.890,1036.256
617,133.0,3942,243.535,1448.214
618,133.0,5242,225.990,1818.917
619,133.0,4084,444.342,1861.702
620,134.0,3741,94.840,488.853
621,134.0,3164,221.944,1052.957
622,134.0,3875,267.774,1420.502
623,134.0,5290,238.067,1822.184
624,134.0,4098,443.134,1860.967
625,135.0,3736,93.937,505.353
626,135.0,3161,226.802,1063.537
627,135.0,3872,286.487,1399.629
628,135.0,5321,248.339,1824.367
629,135.0,4294,442.883,1860.407
630,136.0,3760,95.520,534.643
631,136.0,3174,232.509,1076.009
632,136.0,3935,310.943,1373.842
633,136.0,4637,442.875,1859.201
634,136.0,5418,260.757,1827.092
635,137.0,3625,96.702,565.253
636,137.0,3157,236.018,1084.837
637,137.0,3952,326.534,1354.630
638,137.0,4816,442.214,1859.162
639,137.0,5438,268.066,1828.606
640,138.0,3751,95.945,594.963
641,138.0,3136,239.886,1095.319
642,138.0,3888,343.889,1332.486
643,138.0,4860,445.742,1855.443
644,138.0,5701,268.793,1830.013
645,139.0,4372,93.958,626.752
646,139.0,3231,242.792,1108.451
647,139.0,3857,354.831,1318.739
